CDD_ID_A,CDD_ID_D,CDD_ID_DATE,APPELLAN,APPELANT TYPE,APPELLEE,APPELEE TYPE,,
10-89-8800019,NA,10-89-8800019-1988-07-01,SCHERER ET AL,FED,SINCLAIR ET AL,BIZ,,SCHERER ET AL v. SINCLAIR ET AL
8-64-0301555,NA,8-64-0301555-2003-07-24,U.S. ET AL,FED,AMERICAN ET AL,BIZ,,U.S. ET AL v. AMERICAN ET AL
5-42-8800005,NA,5-42-8800005-1988-06-02,U.S.E.P.A.,FED,BELL,BIZ,,U.S.E.P.A. v. BELL
1-03-1100023,NA,1-03-1100023-2011-01-26,UNITED STATES,FED,"EMHART INDUSTRIES, I",BIZ,,"UNITED STATES v. EMHART INDUSTRIES, I"
1-03-0600218,NA,1-03-0600218-2006-05-11,UNITED STATES,FED,"EMHART INDUSTRIES, I",BIZ,,"UNITED STATES v. EMHART INDUSTRIES, I"
4-25-8900642,NA,4-25-8900642-1989-05-30,US,FED,FIBER ET AL,BIZ,,US v. FIBER ET AL
3-13-8003849,NA,3-13-8003849-1980-10-03,US EPA,FED,MOYERS LANDFIL,BIZ,,US EPA v. MOYERS LANDFIL
9-72-0105722,NA,9-72-0105722-2001-06-07,US ET AL,FED,HOMEBUILDERS E,BIZ,,US ET AL v. HOMEBUILDERS E
9-78-7300184,NA,9-78-7300184-1999-09-30,USA,FED,ALPINE ET AL,BIZ,,USA v. ALPINE ET AL
9-73-8307996,NA,9-73-8307996-1983-12-09,USA,FED,CADILLAC,BIZ,,USA v. CADILLAC
2-05-9400112,NA,2-05-9400112-1994-04-04,USA,FED,CONSTRUCTION E,BIZ,,USA v. CONSTRUCTION E
2-05-8700052,NA,2-05-8700052-1987-05-10,USA,FED,LITTON ET AL,BIZ,,USA v. LITTON ET AL
9-80-9100155,NA,9-80-9100155-1991-04-18,USA,FED,RADIATION ET A,BIZ,,USA v. RADIATION ET A
6-43-8700052,NA,6-43-8700052-1987-03-02,USA,FED,SMALLWOOD ET A,BIZ,,USA v. SMALLWOOD ET A
3-15-7901194,NA,3-15-7901194-1979-08-30,USA,FED,WHEELING-PITTS,BIZ,,USA v. WHEELING-PITTS
9-78-7300184,NA,9-78-7300184-1999-09-30,USA ET AL,FED,ALPINE ET AL,BIZ,,USA ET AL v. ALPINE ET AL
9-78-7300184,NA,9-78-7300184-1999-09-30,USA ET AL,FED,ALPINE ET AL,BIZ,,USA ET AL v. ALPINE ET AL
