fjc_ID,CIRCUIT,DISTRICT,OFFICE,DOCKET,FILEDATE,TERMDATE,PLT,PLT_typ,DEF,DEF_typ,DISP
8-64-9600116-1996-02-05-1,8,64,4,9600116,1996-02-05,1997-02-19,FRIENDS OF ANIMALS,NGO,"BABBITT, ET AL",FED,6
9-7--1100004-2011-01-12-1,9,7-,3,1100004,2011-01-12,2015-03-27,FREEZER LONGLINE COALITION,NGO,"LUBCHENCO, ET AL",BIZ,17
9-79-0100536-2003-08-22-1,9,79,3,0100536,2003-08-22,2003-10-07,ENVIRONMENTAL JUSTICE ACTION G,NGO,"OREGON STEEL MILLS, INC",BIZ,5
9-71-1001807-2010-04-27-1,9,71,5,1001807,2010-04-27,2012-11-14,SISTERS OF NOTRE DAME DENAMUR,NGO,"GARNETT-MURRAY, ET AL",IND,14
10-84-0800657-2008-07-15-1,10,84,1,0800657,2008-07-15,2008-10-08,CENTER FOR BIOLOGICAL DIVERSIT,NGO,"KEMPTHORNE, ET AL",FED,14
0-90-0400811-2004-05-18-1,0,90,1,0400811,2004-05-18,2005-03-09,"OCEANA, INC.",NGO,EVANS,FED,6
11-3A-1900956-2019-04-22-1,11,3A,8,1900956,2019-04-22,2019-10-25,"SUNCOAST WATERKEEPER, ET AL",NGO,"SARASOTA COUNTY, FLORIDA",LOC,5
4-23-1400024-2014-06-05-2,4,23,2,1400024,2014-06-05,2015-04-14,"SOUTHERN APPALACHIAN MO, ET AL",NGO,RED RIVER COAL COMPANY INC,BIZ,6
9-73-0005938-2000-06-02-1,9,73,2,0005938,2000-06-02,2001-02-20,"CENTER BIOLOGICAL, ET AL",NGO,"UNITED STATES ARMY, ET AL",FED,13
9-76-0700466-2008-12-17-1,9,76,1,0700466,2008-12-17,2009-05-01,WILDWEST INSTITUTE,NGO,"RAINVILLE, ET AL",IND,12
9-71-0800779-2008-02-01-1,9,71,3,0800779,2008-02-01,2009-03-20,NORTHERN CALIFORNIA RIVER WATC,NGO,"PACIFIC GAS & ELECTRIC , ET AL",BIZ,13
0-90-1701811-2017-09-05-1,0,90,1,1701811,2017-09-05,2019-03-05,"FRIENDS OF THE CAPITAL , ET AL",NGO,"FEDERAL TRANSIT ADMINIS, ET AL",FED,14
10-88-1900095-2019-08-19-1,10,88,1,1900095,2019-08-19,2020-09-11,WESTERN WATERSHEDS PROJECT,NGO,"INTERIOR BOARD OF LAND , ET AL",BIZ,14
9-72-1500754-2015-05-11-1,9,72,1,1500754,2015-05-11,2018-07-06,"AQUALLIANCE, ET AL",NGO,"U.S. BUREAU OF RECLAMAT, ET AL",FED,17
9-80-1900126-2020-02-20-1,9,80,2,1900126,2020-02-20,2020-02-25,COLUMBIA RIVERKEEPER,NGO,"UNITED STATES ARMY CORP, ET AL",FED,17
5-41-0900692-2009-03-09-1,5,41,4,0900692,2009-03-09,2010-05-19,SIERRA CLUB,NGO,"FEDERAL HIGHWAY ADMINIS, ET AL",FED,6
1-01-8900746-1989-04-05-1,1,01,1,8900746,1989-04-05,1990-12-07,NATURAL RESOURCES DENFENSE,NGO,"GOULD, INC.",BIZ,5
0-90-0301393-2003-06-26-1,0,90,1,0301393,2003-06-26,2005-11-30,NATIONAL WILDLIFE FEDERATION,NGO,NORTON,FED,6
9-71-1401212-2014-03-14-1,9,71,3,1401212,2014-03-14,2014-11-05,CALIFORNIA RIVER WATCH,NGO,"COLD CREEK COMPOST, INC, ET AL",BIZ,12
